,absolute_magnitude,relative_velocity,miss_distance,hazardous,max_diameter,min_diameter,orbit_id,orbit_uncertainty,minimum_orbit_intersection,jupiter_tisserand_invariant,epoch_osculation,eccentricity,semi_major_axis,inclination,ascending_node_longitude,orbital_period,perihelion_distance,perihelion_argument,aphelion_distance,perihelion_time,mean_anomaly,mean_motion,equinox,orb_year,orb_month,orb_day,cap_year,cap_month,cap_day
2125,-0.426827486567959,0.2297780840649155,-0.0432127206363811,0.0,-0.0963500102615907,-0.0963500101478173,27.0,-0.7414055230635174,1.030027833854683,-0.6932735252038142,0.2917293151920961,-0.1228345736362476,0.4022839487156951,0.4960284461495629,-0.3313787250843435,0.2980307756600657,0.848166490363811,-1.0632930212588538,0.2204895621945885,0.078896992609482,-0.7323927147770278,-0.7589606042589139,0,2017.0,4.0,6.0,2007.0,2.0,22.0
304,-0.5314366499931038,0.56920826178816,-1.1228985744278406,0.0,-0.0287740644154175,-0.0287740643893411,17.0,-0.7414055230635174,0.2290382342081518,0.9896453950698736,0.2917293151920961,-0.0841660608094231,-0.884689442252457,1.6352278170077903,-0.5454502817088371,-0.8131121493431314,-0.8940592810205976,-0.4033473607149496,-0.742523553876214,0.1726605275670884,-0.53138159356117,1.068799317894473,0,2017.0,4.0,6.0,1997.0,1.0,22.0
1097,-0.1478697174342398,-0.0776746478025947,-1.46617474504898,1.0,-0.2369123089876519,-0.2369123090878566,12.0,-1.0740237465945617,-0.5814103482993063,0.2959169127829322,0.2917293151920961,-0.7170669368557744,-0.4986604320573795,0.9260784625343936,1.780417389649857,-0.5114794502598392,0.1306667593477992,0.8144745706573724,-0.5868703958277426,0.35095352278724,1.0679087211609557,0.2344865107265398,0,2017.0,4.0,6.0,2001.0,9.0,15.0
2656,0.0962183305577639,-1.1400816598060397,0.9658116859238244,0.0,-0.3238688797022164,-0.3238688795497872,17.0,-1.0740237465945617,-0.5213875298976123,-0.0877788872217464,0.2917293151920961,-0.8659649534062903,-0.1657585774623941,-1.0440862014233725,-0.7774163693708759,-0.2287100302935706,0.7885120997297655,-0.9113909337329582,-0.3927269425344635,0.3370801721195121,1.2734400772750338,-0.2368318469720661,0,2017.0,4.0,6.0,2009.0,7.0,22.0
2579,-0.7755246979851076,-0.6771009594171511,-0.3454861364841557,0.0,0.1704319305986997,0.1704319304716879,80.0,-0.7414055230635174,0.6037994386195074,0.7929405862067156,0.2917293151920961,-0.9542298183581464,-0.7511997171404975,0.2217872696488216,1.6579955218284597,-0.7121480870556625,-0.0915458035156473,1.4324023851053445,-0.8075819544896337,0.1686097063376347,-0.61282460308968,0.7327637830564481,0,2017.0,4.0,6.0,2009.0,2.0,22.0
2962,0.5495247054000574,-0.2245615217198946,-1.414851722517579,0.0,-0.4268446977299364,-0.4268446977381224,15.0,1.586922041653792,-0.3312126507570672,0.4885742975954086,-2.133320424955925,-1.9680407916925204,-0.6031676423879742,1.0007638961956062,-1.239189055067495,-0.5960186189137012,0.9380371144840456,-1.1103625334395917,-0.91677110313405,-2.029832999788184,1.050546382207476,0.4223085687745387,0,2017.0,4.0,6.0,2010.0,11.0,8.0
2598,-1.4031796785359754,1.7416541731458932,1.418490441101403,0.0,1.1036036724906326,1.1036036724926268,22.0,-1.0740237465945617,2.082830452778404,-1.8969774378767212,0.0968679459556138,2.471106404443283,2.267132410101639,0.676739181309814,0.2739586393360679,2.3661160011246927,-1.463226976918765,-1.5058999435205789,2.898735645961173,0.1469100291337524,1.5146383186751902,-1.5004979197131436,0,2017.0,1.0,3.0,2009.0,3.0,22.0
585,0.6119415062437265,-0.6863774961503666,-0.0070931851095359,0.0,-0.4367850443996783,-0.4367850445394423,3.0,0.9216855945917036,-0.2981800321501258,0.3137255786059344,0.2917293151920961,-1.7962746457197971,-0.4665866629440585,-0.1098942227038317,-0.0040991393357041,-0.4851194946509427,1.072555162037665,0.1634168756649991,-0.8012071565909447,0.3434527475920202,1.1413532082746314,0.1812712959409552,0,2017.0,4.0,20.0,1998.0,9.0,22.0
922,-0.9150035825519678,-0.1893387697999625,-0.8469321421091854,0.0,0.3166494411864438,0.3166494411989117,30.0,0.5890673710606594,-0.3595556961754717,-1.744794293571068,0.2917293151920961,1.3212663101683433,2.6590428744060826,0.5056555012222278,-0.147585922792653,2.8592048836710204,0.9745880473927688,0.178512306385852,2.6860517264488277,0.653763968161489,0.8490374032867574,-1.5779647208008674,0,2017.0,4.0,6.0,2000.0,9.0,15.0
430,-0.4616972077096743,1.3611989603785088,-0.9625233271896896,0.0,-0.0748537000337884,-0.0748536999640766,30.0,-0.7414055230635174,-0.0524837999166595,1.4291956469739682,0.2917293151920961,1.6628627421313178,-1.0723329924054938,0.7299534934943527,-1.317260025135625,-0.9487492902908952,-2.1893881385233214,-0.2439793981765003,-0.6067050834090413,0.37647896119626,0.3918507786389765,1.6625483823528715,0,2017.0,4.0,6.0,1997.0,11.0,8.0
